职业代码,职业名称,职业说明,职业任务
4-10-05-01,婚介服务人员,从事婚介服务工作的人员。,"['匹配', '安排、促成双方约见或见面', '跟进双方交往情况，引导婚恋观，解决交往中的问题与困惑', '建立婚介服务档案', '举办婚介服务活动，提供咨询服务']"
4-10-05-02,婚礼策划师,从事婚礼庆典方案创意策划、人财物统筹，监督方案执行等服务工作的人员。,"['接待客户，提供婚礼的咨询服务', '确定婚礼服务项目、服务人员和费用预算', '根据婚礼主题，策划婚礼流程，进行场景布置、花艺、道具、化妆、音乐、影像等设计，制作婚礼策划书', '根据婚礼风格和预算，安排婚礼主持人、音响师、摄影师、摄像师、花艺师、化妆师等，组建婚礼执行团队', '组织实施婚礼彩排', '现场调度婚礼庆典活动', '策划影视后期制作的效果方案，提交影像作品', '回访客户']"
4-10-05-03,婚姻家庭咨询师,在恋爱、婚姻及家庭生活中，进行情感、家庭人际关系、家庭危机等咨询服务的人员。,"['提供解决情感问题的建议', '进行婚前、夫妻关系调适及家庭人际关系调适的咨询服务和辅导', '提出排解婚姻、家庭危机的建议', '进行父母自我教育及亲子教育的咨询服务和辅导', '进行离婚或再婚者的咨询服务和辅导', '进行家庭和谐、稳定、家庭成员身心健康的咨询服务和辅导']"
4-10-06,殡葬服务人员,从事殡仪服务、遗体火化、墓地管理等服务工作的人员。,[]
4-10-06-01,殡仪服务员,从事追悼、告别场所布置，接待、引导家属和宾客，组织治丧活动等殡葬服务工作的人员。,"['接待逝者家属和丧事活动参与者，查验证明材料，提供咨询和洽谈服务、心理抚慰服务，安排治丧业务', '进行遗体消毒、收殓和接运，布置追悼、告别、祭奠仪式会场，安放遗体或骨灰，制作摆放花圈、鲜花等，组织治丧活动', '接待逝者家属和丧事活动参与者，提供引导服务', '清洁殡仪服务场所和相关设备设施，并进行消毒', '收集、整理、维护殡仪服务档案', '销售殡葬用品', '宣传殡葬改革和管理政策，倡导丧葬习俗改革']"
4-10-06-02,遗体防腐整容师,,[]
4-10-06-03,遗体火化师,,[]
4-10-06-04,公墓管理员,,[]
4-10-06-02,遗体防腐整容师,从事遗体防腐与整容工作的人员。,"['进行遗体消毒和清洗', '进行遗体的防腐操作', '进行遗体的整容操作']"
4-10-06-03,遗体火化师,从事遗体、遗骸火化及骨灰处理等殡葬服务工作的人员。,"['核对、录入待火化的遗体或遗骸信息', '操作火化设备，火化遗体或遗骸', '收集、整理、装殓或处理骨灰', '维护、检测、保养火化设备']"
4-10-06-04,公墓管理员,从事公共墓园和墓地维护管理、墓穴施工，并提供骨灰寄存、安葬和祭奠等殡葬服务工作的人员。,"['为客户提供建墓所用建筑材料的品种、用途、性能和价格的咨询服务', '为客户提供建墓服务', '根据本地区主要民族和宗教信仰者埋葬遗体或骨灰的方法和礼俗，提供葬礼和祭奠服务', '遵照碑文内容、格式、写法，提供立碑服务', '建立和管理墓地业务档案', '管理维护墓地园区，进行环境绿化和美化', '接待服务对象，检查、核对火化证明等材料', '办理骨灰收取、寄存、安放和保管等手续，调节骨灰寄存场所条件，保管骨灰', '实施骨灰撒散、海葬、花葬、树葬、草坪葬等多样化、生态化处理工作', '进行骨灰寄存和安放场所防火、防盗及有关安全工作', '负责骨灰祭奠、登记管理，收集逝者音像和文字资料，建立骨灰管理档案，做好日常管理', '利用骨灰存放设施等资源，进行死亡和殡葬文化等生命教育']"
4-10-07-01,宠物健康护理员,从事保持宠物健康的养护管理等工作的人员。,"['诊断、预防宠物常见疾病', '护理、养护、管理宠物']"
4-10-07-02,宠物驯导师,从事训练、培养宠物的良好习性，使其完成指定的动作和任务等工作的人员。,"['进行宠物完成指令动作等目的性训练', '根据宠物的心理及性格，驯导宠物参赛，发布指令，完成竞赛规定动作', '根据犬防技术要求，训练犬只', '根据宠物习性，制订宠物食谱', '根据宠物生长规律，设计宠物饲养环境', '制订实施纠正宠物不良习惯的解决方案，进行针对性训练']"
4-10-07-03,宠物美容师,从事宠物清洁养护、毛发修剪、造型设计、装饰装扮工作的人员。,"['使用宠物浴液、洗耳液、吹水机、吹风机等用具，进行宠物日常健康护理与清洁', '根据宠物品种，设计造型', '使用电剪、针梳、开结刀等工具，修剪宠物毛发', '使用染发工具等，进行宠物毛发染色', '使用束发工具等，进行宠物束发造型', '进行宠物其他非手术类美容清洁']"
4-10-08-01,网约配送员,通过移动互联网平台等，从事接收、验视客户订单，根据订单需求，将订单物品递送至指定地点的服务人员。,"['通过移动智能终端接收、验视、核对客户订单，包括但不限于数量、尺寸、规格、颜色、保质期、价格、地址', '分类整理订单物品，编排递送顺序', '按照客户要求及网络平台智能规划的配送路线，在一定时间内将订单物品递送至指定地点', '处理无人接收、拒收、破损等递送异常情况', '处理客户投诉及其他递送诉求']"
4-10-08-02,汽车代驾员,为客户临时驾驶非营运机动车，运送乘客及代办其他车务服务的人员。,"['核对确认服务信息', '检查客户车辆外观及工作状况', '为客户临时驾驶非营运机动车，按照指定路线或指定目的地运送乘客', '报告机动车故障、延误或事故，处理代驾突发事件', '接受客户委托，代办其他车务服务']"
4-11-01,电力供应服务人员,从事工农业生产及居民生活电力供应服务工作的人员。,
4-11-01-01,供电服务员,从事客户业务受理、用电监督指导，电力调度运行监控、用电量计量、农网运维等工作的人员。,"['接待客户, 受理查询、咨询、投诉、举报、业扩报装、变更用电等业务;', '抄录客户用电计量装置数据, 核算电量, 收取电费;', '监控、采集和处理用户用电信息, 分析表计运行情况和电量变动原因, 处理用电系统故障;', '监督检查客户用电安全、客户侧有序用电、供用电合同的履约情况和电能质量, 查处客户违约用电和窃电行为, 在线监测、分析营销服务异常情况并开展现场稽查;', '安装、调换、调试及校验电能计量装置、用电信息采集设备, 检查错误接线;', '审核客户业扩工程设计资料, 并进行中间检查、竣工验收和接电;', '进行农网10千伏及以下等级电网线路施工, 安装、运行与维护配电设备;', '编制安排电网运行方式, 制订电网安全、稳定、经济运行方案和措施;', '指挥调管范围内设备的运行, 维护自动化主站、厂站端设备, 处理事故和异常情况;', '集中监控所辖变电站设备、信息联调验收、无功电压调整、监控跟踪缺陷等.']"
4-11-01-02,电力交易员,从事电力市场交易、运营、分析和平台运维等服务的人员。,"['接受客户委托, 在电力交易市场进行交易报价、竞价、申报、结算以及信息发布和信用评价;']"
4-11-01-03,综合能源服务员,从事客户用能情况诊断，综合能源方案策划，并组织实施和运维管理的人员。,"['分析、预测、开发综合能源市场', '对接客户，梳理客户能源使用需求，使用能效诊断技术分析客户用能效率等情况', '调查客户项目外部能源环境', '分析项目的内外部情况及冷、热、电、气等多种能源供应、使用以及能效等状况，策划、制订综合能源利用节能降耗方案', '按客户委托，进行项目工程建设的启动、计划、组织、执行、控制管理，验收新投入和检修后的设备', '巡视、检查、维护综合能源系统及其附属设备，处理设备异常及故障，填写运行日志和技术记录']"
4-11-02-00,燃气供应服务员,从事燃气供应用户服务与用气安全指导工作的人员。,"['办理燃气用户开户、销户、通气预约等业务', '抄录、核查用户的燃气用量', '结算、收缴燃气费用', '采用窗口、电话、网络等方式，为用户提供用气咨询服务，为意向用气对象提供初步方案', '为燃气用户提供安全用气上门检查服务', '进行安全用气知识宣传', '回访燃气用户，处理投诉', '进行瓶装燃气供气站气瓶现场管理', '为瓶装燃气用户送换气瓶并连接用气设备进行放散点火', '为用户提供生活型煤加工、供应服务', '收录、管理用户资料档案']"
4-11-03-01,水供应服务员,从事居民家庭、企业和其他用户水销售与供应服务工作的人员。,[]
4-11-03-02,村镇供水员,从事居民家庭、企业和其他用户水销售与供应服务工作的人员。,[]
4-11-03-01,水供应服务员,从事供排水水表安装和售后服务、业务咨询、违章用水和违规服务稽查监督等工作的人员。,"['进行水表校验、安装及售后服务', '进行水费业务咨询、热线服务，办理用水排水申请、用水排水接入等服务业务', '稽查监督违章用水和排水违规等', '填写有关记录、报表，整理归档']"
4-11-03-02,村镇供水员,从事农村供水工程运行管理、水质净化与检测、管道维护、水源保护和水费收缴工作的人员。,"['运行、维护、管理农村供水工程设施设备', '进行农村供水水质的净化、消毒与检测', '操作、维护、管理供水泵站', '巡查、维修、养护供水管道及其附属设施', '巡查、管护农村饮用水水源', '安装维护农村供水工程水量计量设备，收缴水费']"
4-12,修理及制作服务人员,从事汽车、计算机和办公设备、家用和日用电器产品、乐器等修理及印章制作等服务工作的人员。,[]
4-12-01,汽车摩托车修理技术服务人员,从事汽车、摩托车维护、保养、修理、清洗等技术服务工作的人员。,[]
4-12-01-01,汽车维修工,"使用工、夹、量具和仪器仪表、检修设备, 维护、修理和调试汽车及特种车辆的人员。","['安装调整工艺装备，准备维护修理工具。', '使用工、夹、量具和仪器仪表，进行汽车及特种车辆的发动机、底盘、车身、电气等总成(系统)及其零部件检查、调整、更换与修理、故障排除，对汽车外部、内饰及轮毂、轮胎等进行安装、装潢。', '维护汽车维修使用的工、夹、量具，仪器仪表及设备，排除使用过程中出现的故障。', '进行二手车整理、修饰等整备作业。', '执行工艺规范，填写维修记录，清洁作业场地。']"
4-12-01-02,摩托车修理工,使用工、夹、量具和仪器仪表、检修设备，修理摩托车电气及机械故障的人员。,"['安装调整工艺装备，准备维护修理工具。', '使用工、夹、量具和仪器仪表，进行摩托车的发动机、底盘、车身、电气等总成(系统)及其零部件检查、调整、更换与修理、故障排除。', '维护维修使用的工、夹、量具，仪器仪表及设备，排除使用过程中出现的故障。', '执行工艺规范，填写维修记录。', '清洁作业场地。']"
4-12-01-03,电池及电池系统维修保养师,使用工、夹、量具和仪器仪表、检修和均衡等设备，评估、维护、拆装、修理、故障修复、报废、拆解，重新匹配组装和调试电池及电池系统的人员。,"['安装调试工艺装备，准备维护修理和拆装等工具、设备，检查工作环境。', '使用专用工具和设备，进行电池及电池系统功能检测、电子功能维护、拆装、替换修理、故障排除、电性能维护、整体安全性评估。', '使用电池及系统功能检测等设备，进行电池及电池系统的健康评估、功能检测评估、报废和残值评估。', '维护电池维修保养的工、夹、量具和仪器仪表、检修和均衡等设备，排除故障。', '使用专用工具和设备，进行电池及电池系统拆解、重新匹配与调试。', '执行工艺规范、填写维修记录并清洁作业场地。']"
4-12-02,计算机和办公设备维修人员,从事计算机、复印机、信息通信网络终端的维修工作。,[]
4-12-02-01,计算机维修工,"使用螺丝刀、万用表、电烙铁等工具、仪表, 诊断故障, 保养、维修计算机的服务人员。","['询问、了解送修设备故障现象, 区别软硬件故障;', '使用测试设备和仪器仪表, 检查、分析硬件故障的现象和部位;', '判定修理工作量和需更换的零部件, 确定修理价格和修理期限;', '使用工具, 更换、修理损坏的零部件;', '使用检测设备和仪器仪表, 检测送修设备;', '安装、启动操作系统, 调整系统设置, 恢复送修设备使用性能.']"
4-12-02-02,办公设备维修工,"使用万用表、数字逻辑表等仪表和工具, 保养、修理复印机、打印机、投影机等办公设备的人员。","['核检、分析报修件故障;', '判定修理、更换的零部件和修理量, 确定修理价格和工期;', '排除故障及隐患;', '使用检测仪器, 调试电气性能参数;', '使用检测仪器和工具, 装配机械传动装置, 调试灵活性;', '使用专用调试版, 检验和评估图像质量, 恢复使用性能;', '清洁、保养设备.']"
4-12-02-03,信息通信网络终端维修员,从事信息通信网络终端设备安装、配置、检测和维修等工作的人员。,"['安装、开通信息通信网络终端;', '测试、调整通信终端设备主要技术指标;', '测试通信终端设备性能运用状况;', '分析故障原因, 排除故障;', '安装、调试及配置通信终端设备软硬件;', '联网配置通信终端设备.']"
4-12-03-01,家用电器产品维修工,"使用万用表、定量充灌设备和工具, 拆装、保养、修理家用电器产品的人员。",[]
4-12-03-02,家用电子产品维修工,从事电视机、空调等家用电子电器修理服务工作的人员。,[]
4-12-03-01,家用空调器维修工,维修和保养家用空调器的人员。,"['查阅报修产品资料，了解设备现状，分析判断故障部位，进行维护保养或故障修理的技术准备。', '拆卸产品外壳、相关部件，使用仪器、仪表检测参数，判断、确定故障部件。', '使用仪表、设备、工装、工具，添加或更换消耗材料，检测关键部件部位状态，调整电气性能参数，升级、调试软件控制程序。', '说明修理方案、收费项目、价格、质量保证、修理期限等，经用户同意更换故障部件。', '检测、保养产品的相关部位和部件。', '重新组装、装配报修产品。', '验证维修设备状态及主要性能。', '填写工单，收费开票，交付，解答用户问题。']"
4-12-03-02,家用电子产品维修工,使用高频、超高频振荡器、示波器、万用表等仪器仪表，对家用电视机、录像机、音响等家用电子产品进行调试、检测、拆装、维护、修理的人员。,"['搭建检测、维修环境，准备维修工具和防护措施。', '使用检测工具，对电子产品的电路、芯片或部件故障进行检查、定位。', '选择合格的维修备件。', '使用维修工具，对电子产品进行电路、芯片或部件维修。', '维护维修环境、保养维修工具。', '验证维修结果，填写维修记录。']"
4-12-04,日用产品修理服务人员,从事自行车、钟表、燃气具等日用产品修理服务工作的人员。,[]
4-12-04-01,自行车与电动自行车维修工,使用工具、辅助装置及仪器仪表等，修理、调试和检测自行车、电动自行车及其他非机动车辆的人员。,"['检查送修车辆的故障及损坏程度。', '根据修理情况、更换的部件确定修理价格。', '使用工具、辅助装置及仪器仪表等，修理送修车辆，更换零部件。', '安装、调试和检测修复后的车辆。']"
4-12-04-02,修鞋工,使用维修工具、设备和鞋类专用材料及皮革化工制剂，清洗、养护、修理鞋类制品的人员。,['使用专用工具、设备，清洗鞋类制品上的污垢。']
4-12-04-03,钟表维修工,使用专业工具和检测仪器，检测、维修、保养钟表的人员。,"['使用专业工具，进行钟表的拆装、清洗、加油、调校;', '使用专业工具和检测仪器，检测、辨别、排除钟表故障;', '使用专业工具，更换钟表坏损零件;', '使用专业工具，制作钟表一般零部件;', '维修、保养、调校钟表检测仪器;', '使用专业工具，修复、修饰和保养有收藏价值的钟表.']"
4-12-04-04,锁具修理工,使用专用工具和设备，安装、拆解和维修锁具，配制和复制锁具钥匙，以及技术开启锁具的人员。,"['使用专用设备和工具，配制、复制机械锁具的钥匙;', '使用专用设备，配制电子防盗锁的钥匙;', '使用专用工具，修理机械锁、电子锁、密码锁等锁具;', '使用专用工具和方法，技术开启无钥匙的锁具;', '使用专用工具，安装机械、电子等锁具和门禁、监控等技防系统.']"
4-12-04-05,燃气具安装维修工,使用工具，安装、调试、维护和修理燃气灶具等燃气燃烧器具及附属设施的人员。,"['安装燃气燃烧器具;', '维护燃气燃烧器具;', '诊断、排除、修理燃气燃烧器具的故障;', '进行燃气具及其附属设备燃气泄漏等事故的应急处理;', '改装燃气燃烧器具.']"
4-12-04-06,照相器材维修工,使用专用仪器、设备或工具，维护和修理照相机、照片输出、摄影灯具等设备的人员。,"['使用专用仪器、仪表、设备或运用经验，检查、检测照相机、摄影灯具等设备情况，判断故障;', '使用色彩分析仪等设备，检测印相机、放大机、打印机、扩印机等输出照片的饱和度、反差、层次、精度情况，或根据设备运行情况，判断设备故障;', '确定维修方案、价格和修理时间;', '使用专用工具，修理照相机的机械故障，调校镜头，更换照相机、照片输出、摄影灯具设备的故障零部件;', '使用仪器、仪表，调试、检测修理后的设备，出具维修项目清单、质量合格报告;', '维护保养设备，进行设备维护、使用的技术咨询.']"
4-12-05-01,乐器维修工,使用专业工具和检测仪器，检测、维修、调试乐器的人员。,"['检查、分析、判断报修乐器的故障部位及损坏程度;', '根据修理的难易程度和更换零部件的价值，计算维修价格和期限;', '使用专业工具，维修乐器，更换零部件;', '调试修复后的乐器，进行具有发音装置的乐器调音、定律和检验。']"
4-12-05-02,钢琴调律师,使用工具或仪器，运用听觉，调整钢琴音律、机械与音质，以及修复钢琴的人员。,"['使用专用工具和音准仪，运用听觉，根据国际音高标准，以十二平均律为依据，调整琴弦的张力;', '制订钢琴标准音高、基准音组音高，调同度八度，检验全音域;', '使用专用材料、调整工具及设备，调整、维修和更换钢琴键盘系统、击弦机系统、共鸣盘系统、踏板系统等;', '使用专用工具和材料，调整钢琴的音质;', '进行钢琴的检验调试和维修保养。']"
4-12-06-00,印章制作工,使用雕刻机、激光机等专用雕刻设备和手工专用刀具，运用印学理论及书法、章法、刀法等技能，设计、制作印章印面图文的人员。,"['运用印学理论及书法、章法、刀法等，根据印材属性，设计印章印面图文;', '识别印材属性，选择雕刻工具;', '使用工具，运用刀法等制作技能，手工雕刻印章;', '操作印章雕刻、制作设备，雕刻印章;', '修磨、维护手工及机械印章刻制专业工具。']"
4-13-01 (GBM 41301),社会文化活动服务人员,从事礼仪主持、社会文化指导等工作的人员。,[]
4-13-01-01,群众文化指导员,"从事群众文化艺术传授、文艺表演和创作指导, 搜集、整理和开发民间文化艺术等工作的人员。","['对参加群众文化活动的人员进行咨询与指导;', '进行群众文化活动专业能力辅导;', '策划、组织、实施群众性文化活动;', '管理和使用群众文化活动场地、设备、器材、服装、道具等;', '搜集、整理和开发利用民族民间文化艺术遗产.']"
4-13-01-02,礼仪主持人,从事礼仪活动方案策划、程序推进、现场气氛营造和人际互动等工作的人员。,"['联络主、承办方或者委托人，确认礼仪活动需求;', '参与方案和主持词的构思和撰写，进行礼仪活动细节筹划;', '运用主持技巧导入、串联、收合礼仪活动等环节，推进礼仪活动程序;', '与礼仪活动参与者进行现场交流互动，营造气氛.']"
4-13-01-03,讲解员,在展览与游览场所，从事接待、解说、引导等工作的人员。,"['编写讲解词;', '引导观众参观展览及人文、自然景观等，进行现场讲解.']"
4-13-01-03,文化活动组织员,从事文化活动的组织、策划、协调等工作的人员。,"['引导观众遵守观展秩序，维护展览、人文景观和自然生态环境，组织观众应对处置现场突发事件等。', '策划组织专题讲座、流动展览等宣传教育活动。', '培训志愿讲解人员。', '处理突发事件等。']"
4-13-01-04,文化经纪人,从事文化市场交易活动中演员、演出项目、艺术品等文化产品签约、推广等工作的人员。,"['运用艺术鉴赏知识，分析观众群体的类型及分布，选择演出项目，进行谈判、签约。', '进行演出项目成本核算与风险评估，编制演出计划，落实演出场所，根据演出项目的类型制订票价及营销策略，组织票务销售。', '判断演员的潜质和发展前景，进行签约演员的培训、包装、签约、推广等业务，制订演员职业规划。', '制订现场演出活动的安全预案，组织演出活动安保工作，处理演员和演出活动中的突发事件。', '运用艺术品鉴赏和中外美术史等知识，分析和预测市场变化，签约代理艺术品的展览展示和拍卖、销售。']"
4-13-01-05,全媒体运营师,综合利用各种媒介技术和渠道，采用数据分析、创意策划等方式，从事对信息进行加工、匹配、分发、传播、反馈等工作的人员。,"['运用网络信息技术和相关工具，对媒介和受众进行数据化分析，指导媒体运营和信息传播的匹配性与精准性。', '对文字、声音、影像、动画、网页等信息内容进行策划和加工。', '将信息载体向目标受众进行精准分发、传播和营销。', '采集相关数据，根据实时数据分析、监控情况，精准调整媒体分发的渠道、策略和动作。', '建立全媒体传播矩阵，构建多维度立体化的信息出入口，对各端口进行协同运营。']"
4-13-01-06,版权服务师,从事版权资产及其数字化形态确权、标引、拆分、处理，分发变现、资产化交易运维的人员。,"['归类划分版权产品为视觉资产等版权资产类型。', '确认版权资产及其数字化形态的所有权、占有权、使用权、收益权和处置权等。', '制订版权资产保值增值发展规划和实施方案，开发版权资产资源。', '挖掘、收集、分析、标注、审核、鉴定版权资产信息，进行系统整理、数字化转换。', '进行市场调研，智能化统计、分析、评估版权资产应用场景的使用价值，评估定级、定标、定价。', '提供版权资产的授权、管理、运营、代理、经纪咨询及融合发展服务。', '开拓国内外版权资产交流与合作渠道，进行线上线下交易，交付版权产品。']"
4-13-01-07,档案数字化管理师,从事数字文件及元数据的采集、整理、归档、检查，并通过数字档案管理系统进行管控和利用的人员。,"['采集、捕获数字文件及元数据；', '进行数字文件的登记、分类、著录、编目、归档，转化为数字档案；', '检查数字档案的真实性、完整性、可用性和安全性；', '提出数字档案管理系统开发的功能需求；', '进行数字档案的迁移、备份；', '管理、控制和利用数字档案。']"
4-13-01-08,图书馆服务员,从事公共图书馆社区服务、书刊管理、辅助加工、借阅咨询、人员导引等辅助工作的人员。,"['进行上书、排架、顺架和预约取书等；', '进行文献的数据套录、贴条码、盖印、装订、修补等；', '提供读者导引和咨询服务；', '进行图书馆体系内的文献传送。']"
4-13-02-01,影视置景制作员,从事电影电视拍摄所需典型环境的布景制作，实现特定环境造型等工作的人员。,"['了解剧本剧情或节目内容，以及置景设计人员的设计意图，阅识置景设计图及工艺要求，编制置景制作的技术方案；', '查勘拍摄场地条件以及制作条件，准备制作材料及工具，提出对制作经费统筹安排的建议；', '使用工具、机具，进行置景的结构搭建；', '运用雕刻装饰、涂绘布景、泥塑搭景、制作纸塑、围幔背景等艺术及技术手段，进行造型处理，并制作表面视觉效果，实现电影电视特定环境造型；', '根据拍摄的艺术和技术要求，在拍摄现场进行置景陈设与摆放；', '在拍摄及演出现场，提供置景的维护及技术保障，制作风、雨、雪等特殊的置景现场效果；', '拆除拍摄使用后的置景。']"
4-13-02-02,动画制作员,从事影视动画中间画绘制、描线上色、音乐音效、数字特效、后期合成、影像编辑等制作工作的人员。,"['绘制二维、三维、定格等动画中间画;', '依动画片稿对复描线条和颜色设计的要求, 使用计算机上描线、上色;', '制作动画音乐音效、数字特效, 并进行后期合成、影像编辑等.']"
4-13-02-03,影视烟火特效员,"在影视创作、拍摄过程中, 运用烟、火、爆炸等技术与艺术手段, 营造剧中烟、火、爆炸、中弹等效果的人员。","['使用氧化剂、可燃物、电桥、电爆管、中弹药头, 制作火药、烟剂、发光剂等爆炸装置和点火用具;', '按机位、场面及剧本要求等, 设计炸点和烟、雾、燃烧位置;', '安放火药、烟剂、发光剂等爆炸装置和点火用具, 检查导通炸点、安全位置, 设置标识, 进行安全警戒;', '在影视拍摄过程中, 按爆炸时间点起爆, 控制烟、雾、燃烧大小等效果, 营造剧中烟、火、爆炸场面及其他效果, 塑造人物形象, 营造环境气氛;', '布置中弹药头、电爆管、火花弹, 制作人体、物体、地面、水中等中弹效果;', '清理检查拍摄后现场烟火等遗留物.']"
4-13-02-04,电影洗印员,从事电影胶片曝光、化学冲洗、拷贝制作等工作的人员。,"['配制加工洗印用药液;', '冲洗摄影原片、声底片、样片、试验片, 校正标准拷贝、翻正片、翻底片、浮雕片和发行拷贝片;', '清洁影片, 整备待用的素材片, 修复影片的机械性损伤;', '修整、接补、裁切包装影片拷贝.']"
4-13-02-05,电影放映员,"操作电影放映设备, 放映影片的人员。","['安装、调试放映设备;', '放映数字电影或胶片电影;', '保养、维修设备;', '检修影片拷贝;', '进行放映厅自动化管理.']"
4-13-02-06,音响调音员,"使用音响设备和系统, 调控文艺演出、影视制作、录音制作等场所声源的音质、音效等的人员。","['依建声环境特点及节目要求, 设计、配置相应规模的音响系统, 并组织设备的安装调试;', '操作音响系统, 依总体艺术构思, 选配音响器材, 进行语言、音乐、音效等调音;', '参与测试和调校音响设备和系统, 并进行主观音质评价;', '排除故障.']"
4-13-02-07,照明工,使用照明灯具、调光设备，进行影视节目和舞台表演中的人物造型、环境所需灯光艺术效果处理的人员。,"['安装、调试、管理灯具，布置剧情所需要的照明设备和灯光配置。', '操作调光设备，运用照明艺术和技术手段，调配、控制灯光色彩、照度，进行影视、舞台灯光效果处理。', '维修设备，排除故障。']"
4-13-02-08,影视服装员,在影视节目摄制过程中，配制、发放、衔接、管理演员服装的人员。,"['依年代、剧情设计，配置影视摄制中的戏用服装。', '租借、发放影视戏用服装。', '衔接、管理戏用服装。', '设计、制作临时性戏用服装。']"
4-13-02-09,电视摄像员,操作电视摄像器材，拍摄电视新闻、广告、纪录片等电视画面的人员。,"['选择使用摄像器材，进行现场工作准备。', '操作摄像器材，实时记录电视新闻、广告、纪录片或其他专栏节目现场画面、声音。', '整理拍摄素材，辅助后期编辑。']"
4-13-03,考古及文物保护作业人员,从事考古、文物保护、修复、复制、拓印等作业的人员。,[]
4-13-03-01,考古探掘工,使用探铲、手铲及水下考古等专门工具和设备，从事陆地埋藏、水域淹没古代遗存及相关遗存的勘探、发掘，进行记录、绘图及提取工作的人员。,"['勘探陆地、水下遗存，获取遗存的分布、深度、厚度、性状及其他属性的基本信息。', '进行探方或探沟和墓葬的发掘、清理及相关遗存的提取。', '记录陆地或水下考古工作过程、揭露的迹象和获取的信息。', '绘制田野发掘遗存和出土(水)遗物的图纸。', '整理、保护出土(水)遗存，拼合与加固残损遗物。']"
4-13-03-02,文物修复师,从事文物现状调查、本体价值研判，保存状况分析，进行文物加固、清洗、粘接、补配、协色等维护修缮工作的人员。,"['进行文物基本信息调查与采集、病害调查与评估、保存环境调查与评估。', '分析文物本体材质、制作工艺，并进行价值研判。', '开展相关实验室与现场试验，编写保护修复方案。']"
4-13-04-01,在线学习服务师,"运用数字化学习平台(工具), 为学习者提供个性、精准、及时、有效的学习规划、学习指导、支持服务和评价反馈的人员。","['对学习者进行学情分析, 提出针对性的学习规划和学习建议;', '提供全方位、全周期的个性化指导支持和课程管理服务, 解决学习者学习过程中的技术、内容、方法等问题;', '管理在线学习班级, 为学习者建立和维护在线交互社群, 激发学习者的学习动机, 提高学习兴趣;', '运用分析和评价工具对学习者的学习活动和学习成果进行综合评价并及时反馈;', '根据学习者体验, 对学习平台、学习工具、学习资源等提出优化建议.']"
4-13-04-02,国防教育辅导员,"在学校和教育培训基地, 提供爱国主义教育、国防教育、国家安全教育和军事拓展服务的人员。","['进行爱国主义教育、国防教育、国家安全、军事理论等课程理论教学;', '组织国防和军事技能培训;', '组织国防教育、军事拓展、军事生活体验等专题活动;', '提供军事化管理咨询服务;', '宣传国家安全、国防等相关法律法规政策.']"
4-13-04-03,家庭教育指导师,从事家庭教育知识传授、家庭教育指导咨询、家庭教育活动组织等的人员。,['开展家庭教育法律法规及政策宣传;']
4-13-04-04,研学旅行指导师,从事研学旅行相关指导服务的人员。,[]
4-13-04-05,壁画彩塑文物修复师,专门从事壁画和彩塑文物的修复工作的人员。,[]
4-13-04-06,纺织品文物修复师,专门从事纺织品文物的修复工作的人员。,[]
4-13-04-07,复合材质文物修复师,专门从事复合材质文物的修复工作的人员。,[]
4-13-04-08,金属文物修复师,专门从事金属文物的修复工作的人员。,[]
4-13-04-09,石质文物修复师,专门从事石质文物的修复工作的人员。,[]
4-13-04-10,陶瓷、玻璃文物修复师,专门从事陶瓷和玻璃文物的修复工作的人员。,[]
4-13-04-11,油画文物修复师,专门从事油画文物的修复工作的人员。,[]
4-13-04-12,纸张、书画文物修复师,专门从事纸张和书画文物的修复工作的人员。,[]
4-13-04-13,出土(水)竹木漆、牙、角器文物修复师,专门从事出土的竹木漆、牙、角器文物的修复工作的人员。,[]
4-13-04-14,土遗址文物修复师,专门从事土遗址文物的修复工作的人员。,[]
4-13-04-15,木作文物修复师,专门从事木作文物的修复工作的人员。,[]
4-13-04-16,石作文物修复师,专门从事石作文物的修复工作的人员。,[]
4-13-04-17,油漆作文物修复师,专门从事油漆作文物的修复工作的人员。,[]
4-13-04-18,彩画作文物修复师,专门从事彩画作文物的修复工作的人员。,[]
4-13-04-19,泥瓦作文物修复师,专门从事泥瓦作文物的修复工作的人员。,[]
4-13-04-20,钟表文物修复师,专门从事钟表文物的修复工作的人员。,[]
4-13-04-04,研学旅行指导师,策划、制订、实施研学旅行方案，组织、指导开展研学体验活动的人员。,"['收集研学受众需求和研学资源等信息', '开发研学活动项目', '编制研学活动方案和实施计划', '解读研学活动方案，检查参与者准备情况', '组织、协调、指导研学活动项目的开展，保障安全', '收集、记录、分析、反馈相关信息']"
4-14,健康、体育和休闲服务人员,从事健康咨询、医疗临床、康复矫正、公共卫生、体育健身、康养休闲等辅助服务工作的人。,[]
4-14-01,医疗辅助服务人员,从事患者病案管理、辅助护理等医疗辅助服务工作的人员。,[]
4-14-01-01,医疗临床辅助服务员,在医疗机构中，从事病案管理、护理、妇幼保健、药房辅助服务、配膳、卫生检验、医疗救护、医院污水处理等工作的人员。,[]
